Student_ID,Enrollment_Date,Region,City,Course_Name,Learning_Mode,Fees_Paid,Attendance_Percent,Course_Status,Placement_Status
1000065,2021-12-12,East,Delhi,Data Science,Hybrid,29797.37,75,nan,Placed
1000066,2021-05-25,North,Ahmedabad,Cloud Computing,Online,102196.67,89,Completed,Not Eligible
1000067,2021-02-01,East,Ahmedabad,Data Science,Online,109816.23,86,Ongoing,Not Eligible
1000068,2021-10-21,South,Bengaluru,Cyber Security,Offline,173153.69,80,Completed,Placed
1000069,2023-04-16,nan,Ahmedabad,Web Development,Offline,196975.79,87,Completed,Not Placed
1000070,2022-02-12,nan,Chennai,Cyber Security,Offline,27532.43,45,nan,Not Placed
1000071,2022-09-03,nan,Mumbai,Python,Online,170701.39,96,Completed,Not Placed
1000072,2020-10-07,West,Chennai,Cloud Computing,Hybrid,174851.23,65,Completed,Not Placed
1000073,2022-03-05,West,Pune,Cyber Security,Offline,143956.44,98,Ongoing,nan
1000074,2023-02-08,Central,Chennai,AI/ML,Online,108113.66,62,Completed,Not Placed
1000075,2020-10-26,East,nan,AI/ML,Offline,112895.05,62,nan,Not Placed
1000076,2022-09-07,North,Pune,Web Development,Offline,52708.43,77,Ongoing,Not Placed
1000077,2022-06-27,West,nan,Cyber Security,Online,94448.92,52,Ongoing,Not Placed
1000078,2022-06-13,nan,Delhi,AI/ML,Hybrid,171117.01,56,Dropped,Not Placed
1000079,2022-04-10,North,Ahmedabad,Data Science,Hybrid,144509.7,92,Completed,Not Placed
1000080,2020-11-14,North,nan,AI/ML,Offline,105081.39,47,Ongoing,Not Eligible
1000081,2020-09-16,nan,Ahmedabad,Data Science,Offline,194902.71,94,Dropped,Not Placed
1000082,2021-12-07,South,Hyderabad,Python,Hybrid,208554.57,67,Dropped,Not Placed
1000083,2021-09-20,Central,Bengaluru,Data Science,Offline,47050.09,83,Completed,Not Placed
1000084,2020-10-11,South,nan,Web Development,Hybrid,227261.54,65,Ongoing,nan
1000085,2021-07-17,East,Ahmedabad,Cyber Security,Offline,70666.58,80,Completed,Placed
1000086,2023-02-11,Central,Ahmedabad,Data Science,Online,34327.86,96,Completed,Not Placed
1000087,2020-07-10,Central,Ahmedabad,Data Science,Online,159039.22,51,Dropped,Placed
1000088,2020-12-30,East,Chennai,Cyber Security,Online,55731.93,67,Dropped,Placed
1000089,2022-12-07,West,nan,Web Development,Offline,238504.86,69,Ongoing,nan
1000090,2023-02-09,nan,Mumbai,Data Science,Offline,180734.83,49,Ongoing,Placed
1000091,2021-09-28,South,Kolkata,nan,Offline,44949.59,85,Dropped,Not Placed
1000092,2022-03-12,North,nan,nan,Offline,199845.8,43,Ongoing,Not Placed
1000093,2020-06-29,Central,Hyderabad,Python,Hybrid,127729.77,76,Ongoing,Not Placed
1000094,2020-10-08,nan,nan,nan,Online,205841.46,40,Ongoing,Placed
1000095,2020-12-29,South,Kolkata,Python,Online,182552,85,Ongoing,Not Placed
1000096,2022-05-25,South,Pune,Web Development,Online,76426.27,44,Ongoing,Not Placed
1000097,2023-06-01,West,Delhi,Python,Offline,193323.28,91,Dropped,Not Placed
1000098,2021-04-05,Central,Kolkata,AI/ML,Online,192522.41,93,Ongoing,Not Placed
1000099,2022-04-29,East,Hyderabad,AI/ML,Online,104322.53,97,nan,Placed
1000100,2022-09-19,Central,nan,Cyber Security,Online,246358.76,69,Ongoing,Placed
1000101,2023-01-21,North,Bengaluru,AI/ML,Online,188901.32,73,Ongoing,Not Eligible
1000102,2020-08-21,West,nan,Web Development,Offline,218284.76,66,Dropped,Not Eligible
1000103,2020-08-22,nan,Kolkata,Cyber Security,Online,17458.87,90,Completed,Not Placed
1000104,2023-02-15,North,Chennai,Python,Online,30449.37,42,Ongoing,Not Placed
1000105,2022-01-30,nan,Chennai,nan,Hybrid,158575.86,40,Ongoing,Not Placed
1000106,2021-03-28,nan,nan,Cloud Computing,Offline,177892.42,87,Ongoing,Not Eligible
1000107,2023-06-28,Central,Chennai,Data Science,Offline,135869.16,47,Completed,nan
1000108,2021-03-20,nan,Chennai,Data Science,Online,92355.65,45,nan,Not Eligible
1000109,2021-12-28,South,Ahmedabad,nan,Online,164627.65,71,Ongoing,Not Eligible
1000110,2021-03-23,East,Kolkata,Data Science,Online,45999.17,62,Ongoing,Placed
1000111,2020-09-22,nan,Mumbai,Cyber Security,Online,31923.6,69,Completed,Placed
1000112,2023-07-14,West,Mumbai,Python,Online,51274.23,57,Ongoing,Placed
1000113,2021-11-05,West,Hyderabad,Cloud Computing,Online,31322.31,99,Ongoing,Not Placed
1000114,2022-06-04,nan,Delhi,nan,Offline,160506.84,57,Ongoing,Not Placed
1000115,2023-05-31,East,Kolkata,Data Science,Hybrid,165731.62,59,Ongoing,Not Placed
1000116,2022-09-28,nan,Bengaluru,AI/ML,Hybrid,141129.65,77,Dropped,Placed
1000117,2022-02-14,East,Bengaluru,Cyber Security,Online,185534.88,68,Completed,nan
1000118,2020-08-31,North,Hyderabad,Cyber Security,Offline,183788.52,41,Completed,Not Placed
1000119,2020-12-27,nan,Chennai,AI/ML,Online,165068.44,77,Ongoing,Not Placed
1000120,2023-05-23,East,nan,Cloud Computing,Online,31490.65,52,Ongoing,Not Placed
1000121,2021-09-06,West,nan,Web Development,Online,40635.51,96,Ongoing,Not Placed
1000122,2020-10-31,Central,Hyderabad,AI/ML,Online,183419.71,73,Ongoing,Placed
1000123,2023-01-20,West,Kolkata,Data Science,Online,69133.25,58,Dropped,Not Eligible
1000124,2023-02-16,West,Mumbai,Cyber Security,Online,116899.91,54,Completed,Not Eligible
1000125,2022-05-04,North,Mumbai,Data Science,Offline,91579.74,94,Dropped,Not Eligible
1000126,2022-11-25,nan,Hyderabad,Web Development,Online,239062.65,85,Ongoing,Not Placed
1000127,2022-12-19,North,Ahmedabad,AI/ML,Online,176689.88,76,Dropped,Not Placed
1000128,2022-12-16,Central,Hyderabad,Python,Hybrid,218915.54,48,Completed,Not Placed
1000129,2022-03-01,East,Hyderabad,Data Science,Hybrid,176520,78,Ongoing,Not Placed
1000130,2020-06-30,West,Mumbai,Python,Hybrid,150650.95,81,Ongoing,Placed
1000131,2021-07-18,Central,Ahmedabad,Data Science,Online,46895.47,47,nan,Placed
1000132,2020-07-27,West,Bengaluru,Web Development,Online,165918.34,90,Completed,nan
1000133,2020-12-20,nan,Mumbai,AI/ML,Hybrid,116045.77,54,nan,Placed
1000134,2022-02-01,nan,nan,Python,Offline,213757.27,60,Ongoing,Not Eligible
1000135,2021-10-12,West,Pune,AI/ML,Online,125433.41,97,Ongoing,Not Eligible
1000136,2023-03-05,South,Chennai,Cloud Computing,Hybrid,159597.73,93,Ongoing,Not Placed
1000137,2022-06-07,nan,Delhi,Cloud Computing,Offline,233961.35,56,Ongoing,Not Placed
1000138,2021-09-19,nan,Mumbai,Cyber Security,Hybrid,14732.52,47,Ongoing,Not Placed
1000139,2023-07-05,South,Delhi,Data Science,Offline,194086.78,79,Ongoing,Not Placed
1000140,2021-09-17,West,Kolkata,Cyber Security,Hybrid,81057.85,99,Completed,nan
1000141,2020-12-10,East,nan,Cloud Computing,Online,187424.62,43,Ongoing,nan
1000142,2020-09-25,South,Ahmedabad,Cyber Security,Hybrid,114218.01,80,Dropped,Not Eligible
1000143,2022-10-15,South,Hyderabad,Cyber Security,Online,74552.87,57,Completed,Not Placed
1000144,2022-03-22,East,Kolkata,Python,Offline,160099.95,44,Completed,Not Placed
1000145,2023-03-25,nan,Hyderabad,AI/ML,Online,86982.64,54,Completed,Not Placed
1000146,2020-06-23,nan,Hyderabad,Cyber Security,Hybrid,163784.22,73,Dropped,nan
1000147,2022-12-22,nan,Bengaluru,AI/ML,Online,167968.83,89,Dropped,Not Placed
1000148,2023-05-03,nan,Bengaluru,Python,Online,10844.46,96,Ongoing,nan
1000149,2021-12-31,nan,Ahmedabad,AI/ML,Offline,64981.95,69,Completed,Not Placed
1000150,2021-07-26,East,Ahmedabad,Python,Online,148432.19,58,Completed,Not Placed
1000151,2022-12-28,West,Kolkata,Cyber Security,Online,97540.92,55,Ongoing,Not Placed
1000152,2021-01-20,nan,Kolkata,Cyber Security,Online,231222.17,86,nan,Not Eligible
1000153,2021-05-18,South,Delhi,AI/ML,Offline,53033,94,Dropped,Placed
1000154,2022-06-22,nan,Hyderabad,AI/ML,Offline,93142.13,74,Ongoing,Not Placed
1000155,2021-03-22,North,Mumbai,nan,Offline,133709.51,58,Completed,Not Eligible
1000156,2022-03-02,nan,Ahmedabad,Web Development,Online,81749.94,75,Completed,Placed
1000157,2023-05-01,West,Chennai,nan,Online,42320.13,46,Ongoing,nan
1000158,2021-02-12,East,Hyderabad,Cyber Security,Offline,82362.41,98,Ongoing,Placed
1000159,2023-01-26,East,Chennai,Web Development,Online,106416.81,55,Ongoing,Not Placed
1000160,2021-01-26,North,Bengaluru,nan,Hybrid,73295.94,92,Completed,Not Placed
1000161,2023-02-15,North,Kolkata,AI/ML,Offline,80711.88,86,Ongoing,Not Placed
1000162,2021-12-07,nan,Chennai,AI/ML,Online,7052.86,83,Completed,Not Eligible
1000163,2021-08-30,Central,Delhi,AI/ML,Offline,65691.5,72,Completed,Not Placed
1000164,2023-01-28,South,Bengaluru,Data Science,Hybrid,48263.6,72,Ongoing,nan
1000165,2020-12-10,Central,Chennai,Python,Hybrid,245641.66,92,Ongoing,Not Placed
1000166,2020-09-07,North,Delhi,Cyber Security,Hybrid,124575.48,44,Dropped,Not Placed
1000167,2023-02-08,West,Kolkata,Data Science,Online,211837.09,71,Ongoing,Placed
1000168,2022-07-23,North,Bengaluru,Python,Offline,25486.6,75,Ongoing,Not Placed
1000169,2022-03-15,East,Chennai,Cyber Security,Hybrid,129040.62,69,Completed,nan
1000170,2021-03-11,East,Ahmedabad,Data Science,Hybrid,77818.08,68,Ongoing,Not Placed
1000171,2022-12-27,nan,Ahmedabad,Data Science,Online,241911.17,57,Ongoing,Not Placed
1000172,2023-08-15,West,Delhi,Python,Offline,141883.46,49,Ongoing,Not Eligible
1000173,2021-04-27,nan,Kolkata,Cyber Security,Online,12440.74,53,Ongoing,Not Eligible
1000174,2021-11-04,South,Chennai,Web Development,Offline,68968.51,47,Dropped,Not Placed
1000175,2020-06-02,nan,Bengaluru,Data Science,Online,231553.61,94,Completed,Placed
1000176,2022-12-19,nan,Chennai,Cyber Security,Online,96420.05,55,Completed,Not Eligible
1000177,2021-10-13,nan,Hyderabad,Cyber Security,Hybrid,204787.56,43,Ongoing,Placed
1000178,2020-08-14,nan,nan,Cloud Computing,Offline,111654.08,71,Ongoing,Placed
1000179,2022-04-29,West,Hyderabad,AI/ML,Offline,59526.38,42,Completed,Not Placed
1000180,2020-12-28,West,Ahmedabad,nan,Offline,43454.2,,Ongoing,Placed
1000181,2020-06-02,South,Bengaluru,Cloud Computing,Online,159352.46,57,Ongoing,Not Placed
1000182,2022-10-06,North,Bengaluru,Web Development,Online,43751.4,42,Completed,Not Eligible
1000183,2021-06-27,North,Delhi,Web Development,Offline,141394.71,65,Completed,Not Placed
1000184,2021-01-29,Central,Hyderabad,Python,Offline,198352.85,51,Ongoing,Placed
1000185,2022-05-30,South,Hyderabad,Data Science,Offline,85553.44,57,nan,Not Placed
1000186,2022-09-18,South,Bengaluru,Python,Online,16663.49,87,Ongoing,nan
1000187,2022-12-12,North,Bengaluru,Cloud Computing,Online,152337.21,71,Completed,Placed
1000188,2022-09-04,nan,Ahmedabad,Web Development,Hybrid,198562.81,92,Ongoing,Placed
1000189,2020-06-12,West,Pune,Python,Offline,126250.71,70,Ongoing,Not Placed
1000190,2023-08-21,North,Chennai,nan,Online,221615.97,53,Ongoing,Not Eligible
1000191,2021-01-12,nan,Pune,AI/ML,Online,113796.41,63,Ongoing,Placed
1000192,2021-09-10,South,Kolkata,Cyber Security,Offline,57162.36,43,nan,Not Placed
1000193,2020-09-24,nan,Chennai,Cloud Computing,Offline,231393.85,81,Dropped,Not Eligible
1000194,2023-02-26,North,Kolkata,Data Science,Hybrid,183033.69,43,Completed,Not Placed
1000195,2022-09-16,nan,Kolkata,AI/ML,Hybrid,243964.85,88,nan,nan
1000196,2022-10-26,North,Bengaluru,Web Development,Online,8345.77,71,Ongoing,nan
1000197,2022-01-05,East,nan,Cyber Security,Offline,246673.75,74,Ongoing,Placed
1000198,2020-10-29,South,Pune,Python,Offline,211513.51,95,Dropped,Not Placed
1000199,2021-02-17,North,Mumbai,Python,Online,233750.06,66,Ongoing,Not Eligible
1000200,2021-07-12,East,Hyderabad,AI/ML,Offline,12177.06,80,nan,Placed
1000201,2023-06-09,West,Delhi,Web Development,Offline,119516.85,86,Ongoing,Not Eligible
1000202,2023-06-28,West,Hyderabad,AI/ML,Online,151994.92,80,Completed,Not Placed
1000203,2023-02-03,East,Mumbai,nan,Hybrid,60023.77,56,Completed,Not Eligible
1000204,2022-12-13,nan,Pune,nan,Online,47096.02,90,Ongoing,nan
1000205,2023-05-01,Central,Ahmedabad,Data Science,Online,170485.37,91,Ongoing,Not Placed
1000206,2021-09-09,North,Mumbai,Cyber Security,Offline,200693.01,80,Dropped,Not Placed
1000207,2022-08-29,nan,Hyderabad,Python,Offline,58422.21,81,nan,Not Placed
1000208,2021-12-13,nan,Ahmedabad,Data Science,Online,82513.03,51,nan,Not Eligible
1000209,2023-03-23,West,Chennai,Web Development,Hybrid,161437.59,76,Completed,Placed
1000210,2022-08-14,Central,Ahmedabad,Data Science,Hybrid,233495.94,71,Ongoing,Not Placed
1000211,2021-12-09,South,Pune,Web Development,Online,134705.95,65,Completed,Not Placed
1000212,2020-06-26,nan,Chennai,Web Development,Online,193714.41,94,Dropped,Not Eligible
1000213,2020-09-30,East,Mumbai,Cyber Security,Offline,120115.01,79,Completed,nan
1000214,2022-07-31,Central,Chennai,AI/ML,Online,8999.55,66,Ongoing,Not Placed
1000215,2022-05-21,North,nan,AI/ML,Offline,67313.73,99,Completed,Placed
1000216,2020-08-15,East,Bengaluru,Data Science,Offline,159281.44,57,Ongoing,Not Eligible
1000217,2020-12-01,East,Ahmedabad,Python,Online,41353.12,48,nan,nan
1000218,2021-05-11,Central,Delhi,nan,Hybrid,65795.71,99,Ongoing,Not Eligible
1000219,2022-12-02,nan,Delhi,Python,Offline,144211.95,43,Completed,Placed
1000220,2022-08-16,East,Pune,Python,Hybrid,90673.52,94,Ongoing,Not Placed
1000221,2021-02-14,West,Pune,AI/ML,Hybrid,221354.15,42,Ongoing,Not Eligible
1000222,2021-02-04,West,Mumbai,Web Development,Online,111075.82,83,Ongoing,Not Placed
1000223,2022-07-23,East,Hyderabad,AI/ML,Offline,130773.16,40,Ongoing,Not Placed
1000224,2022-09-16,nan,Delhi,Cyber Security,Online,238511.66,58,Dropped,Placed
1000225,2021-09-11,nan,Kolkata,Cyber Security,Offline,31497.66,91,Completed,nan
1000226,2021-07-02,nan,Delhi,Cloud Computing,Online,162916.48,45,Completed,Placed
1000227,2023-05-29,Central,nan,nan,Hybrid,227871.03,56,nan,Placed
1000228,2023-02-24,Central,Delhi,AI/ML,Offline,139720.4,65,Ongoing,Placed
1000229,2023-05-11,Central,Mumbai,AI/ML,Hybrid,30873.54,56,Ongoing,Placed
1000230,2022-02-14,nan,nan,Cyber Security,Offline,155775.37,84,Ongoing,Not Eligible
1000231,2020-07-26,North,Delhi,Cloud Computing,Online,187487.59,88,Completed,Placed
1000232,2022-05-17,South,Pune,Data Science,Hybrid,23698.31,93,Dropped,Not Eligible
1000233,2021-09-18,East,Hyderabad,Data Science,Online,150720.29,68,Completed,Not Placed
1000234,2020-12-06,North,Ahmedabad,Data Science,Hybrid,248464.97,,Completed,Not Placed
1000235,2022-08-19,nan,Mumbai,AI/ML,Online,153130.24,56,Ongoing,nan
1000236,2023-03-29,South,Chennai,Data Science,Hybrid,141041.44,59,Completed,Placed
1000237,2021-09-01,North,Kolkata,Cloud Computing,Hybrid,8764.73,95,Completed,Placed
1000238,2022-04-20,West,Mumbai,nan,Online,167006.88,53,Completed,Placed
1000239,2020-12-10,Central,Ahmedabad,nan,Offline,93566.02,80,Dropped,Not Placed
1000240,2022-08-07,nan,Mumbai,Web Development,Online,117413.72,68,Ongoing,Placed
1000241,2023-07-08,Central,Delhi,AI/ML,Online,172732.22,70,Ongoing,Not Placed
1000242,2021-11-18,nan,Delhi,AI/ML,Online,81716.38,90,Ongoing,Not Eligible
1000243,2023-02-01,South,Mumbai,Cloud Computing,Hybrid,247004.43,94,Ongoing,Not Placed
1000244,2020-09-20,nan,Mumbai,Data Science,Offline,236040.26,63,Ongoing,Not Placed
1000245,2020-11-07,West,Mumbai,AI/ML,Online,198208.61,59,Completed,Not Placed
1000246,2023-07-18,West,Pune,Python,Online,31790.23,41,Ongoing,Not Placed
1000247,2021-02-24,North,Chennai,Cloud Computing,Hybrid,15151.15,85,Dropped,Placed
1000248,2020-12-26,South,Bengaluru,Python,Online,29892.78,93,Completed,nan
1000249,2022-02-19,East,Hyderabad,Python,Online,212680.62,82,Ongoing,Not Placed
1000250,2021-05-19,Central,Pune,Data Science,Online,78613.36,83,Ongoing,Not Eligible
1000251,2023-03-26,West,Bengaluru,Data Science,Online,58344.98,79,Ongoing,nan
1000252,2021-02-05,South,Hyderabad,Cyber Security,Offline,51585.33,89,nan,Placed
1000253,2023-01-18,Central,Mumbai,Cyber Security,Online,216152.15,82,Ongoing,Placed
1000254,2023-09-09,North,Mumbai,Web Development,Online,46161.15,79,nan,Not Eligible
1000255,2023-01-07,nan,Mumbai,Web Development,Offline,212589.9,47,Ongoing,Not Eligible
1000256,2021-09-21,nan,Chennai,Python,Offline,57185.36,97,Completed,Placed
1000257,2021-06-17,East,Ahmedabad,Cyber Security,Online,246457.28,63,Completed,Placed
1000258,2022-06-18,nan,Mumbai,Cloud Computing,Online,187587.44,63,Ongoing,Not Placed
1000259,2021-03-28,Central,Hyderabad,nan,Online,143254.25,92,Completed,Not Placed
1000260,2021-09-17,West,Bengaluru,AI/ML,Hybrid,238633.23,40,nan,Not Eligible
1000261,2021-02-01,North,Ahmedabad,Web Development,Hybrid,173552.21,100,nan,Placed
1000262,2021-01-30,West,Hyderabad,Web Development,Online,199474.33,99,Completed,Not Eligible
1000263,2021-05-24,East,Pune,Data Science,Offline,79940.03,97,Completed,Not Eligible
1000264,2020-09-10,South,Mumbai,Python,Online,188437.72,69,Dropped,Not Placed
1000265,2021-07-27,nan,Kolkata,Cyber Security,Offline,11363.61,47,Ongoing,Not Placed
1000266,2020-07-04,East,nan,Data Science,Online,96161.38,81,Ongoing,Not Eligible
1000267,2023-02-02,nan,Mumbai,nan,Online,158112.38,46,Dropped,Not Placed
1000268,2020-06-27,North,Hyderabad,Data Science,Online,49405.26,90,Ongoing,Placed
1000269,2022-04-05,nan,nan,Data Science,Online,201142.84,46,Completed,Placed
1000270,2020-08-21,nan,Delhi,Python,Online,141949.71,45,Ongoing,nan
1000271,2022-03-17,nan,nan,Cyber Security,Online,236554.48,40,Dropped,Placed
1000272,2022-09-28,West,Pune,Web Development,Online,100834.77,71,Ongoing,Placed
1000273,2020-10-09,nan,Hyderabad,Cyber Security,Offline,133081.92,51,Ongoing,Not Placed
1000274,2023-01-26,East,Ahmedabad,AI/ML,Online,144491.53,78,nan,Not Placed
1000275,2022-02-24,East,Pune,Cyber Security,Hybrid,120636.75,47,nan,Not Placed
1000276,2022-01-30,nan,Chennai,AI/ML,Offline,138997,86,Dropped,Placed
1000277,2023-04-24,nan,Mumbai,Web Development,Online,27579.38,78,Dropped,Placed
1000278,2022-03-19,nan,Pune,Data Science,Offline,39115.04,58,Ongoing,Not Placed
1000279,2022-11-20,West,Bengaluru,nan,Online,89245.55,58,Completed,Not Eligible
1000280,2021-11-04,East,Bengaluru,Cyber Security,Hybrid,112303.61,56,Ongoing,nan
1000281,2021-11-03,West,nan,AI/ML,Online,68381.74,64,Ongoing,Not Placed
1000282,2020-09-23,nan,Kolkata,Python,Offline,219916.31,69,Completed,Not Placed
1000283,2022-09-08,nan,Ahmedabad,Data Science,Offline,183547.53,57,Dropped,Not Eligible
1000284,2020-06-02,South,Ahmedabad,Cyber Security,Online,68361.25,42,Completed,Not Placed
1000285,2020-10-26,East,Bengaluru,AI/ML,Offline,132032.56,82,Dropped,Not Eligible
1000286,2021-09-15,West,Mumbai,Python,Offline,113428.52,74,Ongoing,Not Eligible
1000287,2021-05-31,South,Chennai,Web Development,Hybrid,11129.32,99,Dropped,Not Eligible
1000288,2021-06-09,Central,nan,nan,Offline,166485.02,90,Completed,Not Placed
1000289,2022-01-01,South,Pune,Data Science,Offline,118235.99,74,Completed,Not Eligible
1000290,2021-12-08,East,Chennai,Data Science,Online,225951.51,45,Ongoing,nan
1000291,2023-04-05,nan,Mumbai,Cyber Security,Hybrid,140874.48,88,Completed,Not Placed
1000292,2021-01-28,East,Pune,Cyber Security,Online,174555.5,43,nan,Placed
1000293,2022-03-09,nan,Kolkata,Web Development,Offline,202014.77,80,Completed,Not Placed
1000294,2022-09-10,nan,Kolkata,Web Development,Hybrid,229459.88,80,nan,Not Placed
1000295,2022-01-19,West,nan,Data Science,Hybrid,243402.72,75,Ongoing,Not Placed
1000296,2023-07-03,South,Mumbai,nan,Offline,155680.41,70,Dropped,Not Eligible
1000297,2022-04-06,East,Bengaluru,Data Science,Offline,139287.42,78,Completed,Placed
1000298,2022-01-03,South,Kolkata,AI/ML,Hybrid,15565.87,63,Dropped,Not Eligible
1000299,2023-07-08,nan,Mumbai,Python,Online,42924.21,62,Completed,nan
1000300,2020-07-21,South,Bengaluru,AI/ML,Online,117364.87,60,Ongoing,Placed
1000301,2021-11-27,West,Hyderabad,Data Science,Online,77855.99,66,Completed,Placed
1000302,2021-06-06,West,Ahmedabad,Data Science,Hybrid,40956.45,93,Completed,nan
